title,cwe,description,cvss_v4,cvss_v4_score,finding,kind,where,snippet,method
063. Lack of data validation - Path Traversal,CWE-22,The application has functionality vulnerable to path traversal in wackopicko/website/pictures/upload.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.7,https://db.fluidattacks.com/wek/063,SAST,44,"
  36 |       {
  37 |   $new_name = tempnam(""../upload"", $filename);
  38 |   move_uploaded_file($_FILES['pic']['tmp_name'], $new_name);
  39 |   $id = Pictures::add_conflict($filename, $new_name, $_POST['tag'], $_POST['title'], $_POST['price'], $user['id']);
  40 |   http_redirect(Pictures::$CONFLICT_URL . ""?conflictid={$id}"");
  41 |       }
  42 |       else
  43 |       {
> 44 |   if (move_uploaded_file($_FILES['pic']['tmp_name'], $filename))
  45 |   {
  46 |
  47 |      if ($id = Pictures::create_picture($_POST['title'], 128, 128, $_POST['tag'], $relfilename, $_POST['price'], $user['i
  48 |      {
  49 |         $main = "".550.jpg"";
  50 |         $side = "".128.jpg"";
  51 |         $thumb= "".128_128.jpg"";
  52 |         Pictures::resize_image($filename, $filename . $main, 550, 10000000);
     ^ Col 0
",php.general.f063.unsafe_file_inclusion
266. Excessive Privileges - Docker,CWE-250,"No command found to create a group or user, make sure the container is running as non-root in wackopicko/Dockerfile",CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N/E:U,7.3,https://db.fluidattacks.com/wek/266,SAST,1,"
>  1 | FROM php:7.4-apache
   2 | LABEL maintainer=""Adam Doupe <adamdoupe@gmail.com>""
   3 |
   4 | # Install dependencies
   5 | RUN apt-get update && apt-get install -y \
   6 |     libgd-dev \
   7 |     default-mysql-client \
   8 |     && docker-php-ext-install gd mysqli \
   9 |     && apt-get clean \
  10 |     && rm -rf /var/lib/apt/lists/*
  11 |
  12 | # Copy application files
  13 | RUN rm -fr /var/www/html
  14 | COPY website /var/www/html
  15 | RUN chmod 777 /var/www/html/upload
  16 |
  17 | # Copy configuration files
     ^ Col 0
",docker.general.f266.container_without_user
262. Insecure encryption algorithm - SHA1,CWE-328,The server where the application is stored supports insecure ciphers - SHA1 in wackopicko/website/include/admins.php,CVSS:4.0/AV:A/AC:H/AT:N/PR:N/UI:P/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.1,https://db.fluidattacks.com/wek/262,SAST,84,"
  79 | function check_login($admin, $pass)
  80 |    {
  81 |       $query = sprintf(""SELECT * from `admin` where `login` like '%s' and `password` = SHA1( '%s' ) limit 1;"",
  82 |          mysql_real_escape_string($admin),
  83 |          mysql_real_escape_string($pass));
> 84 |       $res = mysql_query($query);
  85 |       if ($res)
  86 |       {
  87 |   return mysql_fetch_assoc($res);
  88 |       }
  89 |       else
  90 |       {
  91 |   return False;
  92 |       }
  93 |    }
     ^ Col 0
",php.mysql.f262.insecure_sha1_in_query
262. Insecure encryption algorithm - SHA1,CWE-328,The server where the application is stored supports insecure ciphers - SHA1 in wackopicko/website/include/users.php,CVSS:4.0/AV:A/AC:H/AT:N/PR:N/UI:P/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.1,https://db.fluidattacks.com/wek/262,SAST,99,"
   85 | function check_login($username, $pass, $vuln = False)
   86 |    {
   87 |       if ($vuln)
   88 |       {
   89 |   $query = sprintf(""SELECT * from `users` where `login` like '%s' and `password` = SHA1( CONCAT('%s', `salt`)) limit 1;"",
   90 |                     $username,
   91 |                     mysql_real_escape_string($pass));
   92 |       }
   93 |       else
   94 |       {
   95 |   $query = sprintf(""SELECT * from `users` where `login` like '%s' and `password` = SHA1( CONCAT('%s', `salt`)) limit 1;"",
   96 |                     mysql_real_escape_string($username),
   97 |                     mysql_real_escape_string($pass));
   98 |       }
>  99 |       $res = mysql_query($query);
  100 |       if ($res)
  101 |       {
  102 |   return mysql_fetch_assoc($res);
  103 |       }
  104 |       else
  105 |       {
  106 |   if ($vuln)
  107 |   {
  108 |      die(mysql_error());
  109 |   }
  110 |   else
  111 |   {
  112 |      return False;
  113 |   }
  114 |       }
  115 |    }
      ^ Col 0
",php.mysql.f262.insecure_sha1_in_query
262. Insecure encryption algorithm - SHA1,CWE-328,The server where the application is stored supports insecure ciphers - SHA1 in wackopicko/website/include/users.php,CVSS:4.0/AV:A/AC:H/AT:N/PR:N/UI:P/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.1,https://db.fluidattacks.com/wek/262,SAST,129,"
  117 | function similar_login($login, $vuln = False)
  118 |    {
  119 |       if ($vuln)
  120 |       {
  121 |   $query = ""SELECT * from `users` where `firstname` like '%{$login}%' and firstname != '{$login}'"";
  122 |       }
  123 |       else
  124 |       {
  125 |   $query = sprintf(""SELECT * from `users` where `firstname` like '%%%s%%' and firstname != '%s'"",
  126 |      mysql_real_escape_string($login),
  127 |      mysql_real_escape_string($login));
  128 |       }
> 129 |       $res = mysql_query($query);
  130 |       if ($res)
  131 |       {
  132 |   while ($row = mysql_fetch_assoc($res))
  133 |   {
  134 |      $to_ret[] = $row;
  135 |   }
  136 |   return $to_ret;
  137 |
  138 |       }
  139 |       else
  140 |       {
  141 |   if ($vuln)
  142 |   {
  143 |      die(mysql_error());
  144 |   }
  145 |   return False;
  146 |       }
  147 |
  148 |
  149 |    }
      ^ Col 0
",php.mysql.f262.insecure_sha1_in_query
380. Supply Chain Attack - Docker,CWE-494,Docker dependencies are not pinned to an exact digest in wackopicko/Dockerfile,CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:P/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:U,2.3,https://db.fluidattacks.com/wek/380,SAST,1,"
>  1 | FROM php:7.4-apache
   2 | LABEL maintainer=""Adam Doupe <adamdoupe@gmail.com>""
   3 |
   4 | # Install dependencies
   5 | RUN apt-get update && apt-get install -y \
   6 |     libgd-dev \
   7 |     default-mysql-client \
   8 |     && docker-php-ext-install gd mysqli \
   9 |     && apt-get clean \
  10 |     && rm -rf /var/lib/apt/lists/*
  11 |
  12 | # Copy application files
  13 | RUN rm -fr /var/www/html
  14 | COPY website /var/www/html
  15 | RUN chmod 777 /var/www/html/upload
  16 |
  17 | # Copy configuration files
     ^ Col 0
",docker.general.f380.unpinned_docker_imag
235. Technical information leak - Headers,CWE-497,Ensure that the expose_php directive is not enabled in wackopicko/php.ini,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,6.9,https://db.fluidattacks.com/wek/235,SAST,376,"
   368 | ; Miscellaneous ;
   369 | ;;;;;;;;;;;;;;;;;
   370 |
   371 | ; Decides whether PHP may expose the fact that it is installed on the server
   372 | ; (e.g. by adding its signature to the Web server header).  It is no security
   373 | ; threat in any way, but it makes it possible to determine whether you use PHP
   374 | ; on your server or not.
   375 | ; http://php.net/expose-php
>  376 | expose_php = On
   377 |
   378 | ;;;;;;;;;;;;;;;;;;;
   379 | ; Resource Limits ;
   380 | ;;;;;;;;;;;;;;;;;;;
   381 |
   382 | ; Maximum execution time of each script, in seconds
   383 | ; http://php.net/max-execution-time
   384 | ; Note: This directive is hardcoded to 0 for the CLI SAPI
       ^ Col 0
",php.general.f235.php_expose_php_enabled
362. Technical information leak - Content response,CWE-497,It is possible to obtain technical information from the application in wackopicko/website/include/test.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,6.9,https://db.fluidattacks.com/wek/362,SAST,3,"
  1 | <?php
  2 | require_once(""users.php"");
> 3 | phpinfo();
  4 | $res = Users::get_user(3);
  5 | print_r($res);
  6 | ?>
    ^ Col 0
",php.general.f362.phpinfo_information_leak
068. Insecure session expiration time,CWE-613,User sessions do not expire after 5 minutes of inactivity in wackopicko/php.ini,CVSS:4.0/AV:L/AC:L/AT:P/PR:N/UI:P/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N/E:U,2.0,https://db.fluidattacks.com/wek/068,SAST,1390,"
  1382 | session.name = PHPSESSID
  1383 |
  1384 | ; Initialize session on request startup.
  1385 | ; http://php.net/session.auto-start
  1386 | session.auto_start = 0
  1387 |
  1388 | ; Lifetime in seconds of cookie or, if 0, until browser is restarted.
  1389 | ; http://php.net/session.cookie-lifetime
> 1390 | session.cookie_lifetime = 0
  1391 |
  1392 | ; The path for which the cookie is valid.
  1393 | ; http://php.net/session.cookie-path
  1394 | session.cookie_path = /
  1395 |
  1396 | ; The domain for which the cookie is valid.
  1397 | ; http://php.net/session.cookie-domain
  1398 | session.cookie_domain =
       ^ Col 0
",php.general.f068.insecure_session_expiration
405. Excessive privileges - Access Mode,CWE-732,The system files or directories have overly permissive access modes in wackopicko/Dockerfile,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:U,5.1,https://db.fluidattacks.com/wek/405,SAST,15,"
   7 |     default-mysql-client \
   8 |     && docker-php-ext-install gd mysqli \
   9 |     && apt-get clean \
  10 |     && rm -rf /var/lib/apt/lists/*
  11 |
  12 | # Copy application files
  13 | RUN rm -fr /var/www/html
  14 | COPY website /var/www/html
> 15 | RUN chmod 777 /var/www/html/upload
  16 |
  17 | # Copy configuration files
  18 | COPY current.sql /docker-entrypoint-initdb.d/
  19 | COPY create_mysql_admin_user.sh /create_mysql_admin_user.sh
  20 | COPY php.ini /usr/local/etc/php/php.ini
  21 | RUN chmod 755 /*.sh
  22 |
  23 | # Enable Apache modules
     ^ Col 0
",executable_files.chmod.f405.excessive_privileges_for_others
405. Excessive privileges - Access Mode,CWE-732,The system files or directories have overly permissive access modes in wackopicko/website/pictures/upload.php,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:U,5.1,https://db.fluidattacks.com/wek/405,SAST,27,"
  19 |    }
  20 |    else
  21 |    {
  22 |       $_POST['name'] = str_replace("".."", """", $_POST['name']);
  23 |       $_POST['name'] = str_replace("" "", """", $_POST['name']);
  24 |       $_POST['name'] = str_replace(""/"", """", $_POST['name']);
  25 |       if (!file_exists(""../upload/{$_POST['tag']}/""))
  26 |       {
> 27 |   mkdir(""../upload/{$_POST['tag']}"", 0777, True);
  28 |       }
  29 |       $filename = ""../upload/{$_POST['tag']}/{$_POST['name']}"";
  30 |       $relfilename = ""{$_POST['tag']}/{$_POST['name']}"";
  31 |       if ($_POST['price'] < 0)
  32 |       {
  33 |   $_POST['price'] = abs($_POST['price']);
  34 |       }
  35 |       if (file_exists($filename))
     ^ Col 0
",php.general.f405.excessive_access_mode
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in wackopicko/website/users/check_pass.php,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,8.1,https://db.fluidattacks.com/wek/004,SAST,11,"
   3 |
   4 | if (!isset($_GET[""password""])) // ?password=blah
   5 | {
   6 |    error_404();
   7 | }
   8 | $pass = $_GET[""password""];
   9 |
  10 |
> 11 | exec(""/bin/cat /usr/share/dict/words | grep "" . $pass, $output, $status);
  12 |
  13 | if ($status == 0)
  14 | {
  15 |    $strong = False;
  16 | }
  17 | else
  18 | {
  19 |    $string = True;
     ^ Col 0
",php.general.f004.command_injection_in_exec_functions
008. Reflected cross-site scripting (XSS),CWE-79,The web application dynamically generates web content without validating the source of the potentially untrusted data in wackopicko/website/piccheck.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,https://db.fluidattacks.com/wek/008,SAST,20,"
  11 | $type = $_FILES['userfile']['type'];
  12 | $name = $_POST['name'];
  13 |
  14 | ?>
  15 |
  16 | <?php our_header(""home""); ?>
  17 |
  18 |
  19 | <div class=""column prepend-1 span-24 first last"">
> 20 |   <h2>Checking your file <?= $name ?></h2>
  21 |   <p>
  22 |     File is O.K. to upload!
  23 |   </p>
  24 | </div>
  25 |
  26 |
  27 | <?php our_footer(); ?>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,The web application dynamically generates web content without validating the source of the potentially untrusted data in wackopicko/website/pictures/search.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,https://db.fluidattacks.com/wek/008,SAST,22,"
  13 | }
  14 |
  15 | $pictures = Pictures::get_all_pictures_by_tag($_GET['query']);
  16 |
  17 | ?>
  18 |
  19 | <?php our_header("""", $_GET['query']); ?>
  20 |
  21 | <div class=""column prepend-1 span-24 first last"">
> 22 | <h2>Pictures that are tagged as '<?= $_GET['query']  ?>'</h2>
  23 |
  24 |    <?php thumbnail_pic_list($pictures); ?>
  25 |
  26 | </div>
  27 |
  28 |
  29 | <?php our_footer(); ?>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,The web application dynamically generates web content without validating the source of the potentially untrusted data in wackopicko/website/submitname.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,https://db.fluidattacks.com/wek/008,SAST,19,"
   7 | if (!isset($_GET['value']))
   8 | {
   9 |    http_redirect(Users::$HOME_URL);
  10 | }
  11 |
  12 |
  13 | ?>
  14 |
  15 | <?php our_header(""home""); ?>
  16 |
  17 | <div class=""column prepend-1 span-24 first last"">
  18 |   <p>
> 19 |     Your favorite color is <?= $_GET['value'] ?>! and you've been entered in our contest!
  20 |   </p>
  21 | </div>
  22 |
  23 | <?php our_footer(); ?>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,The web application dynamically generates web content without validating the source of the potentially untrusted data in wackopicko/website/test.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,https://db.fluidattacks.com/wek/008,SAST,8,"
   1 | <?php
   2 | $head = $_GET['head'];
   3 | $title = $_GET['title'];
   4 | $href = $_GET['href'];
   5 | $script = $_GET['script'];
   6 | ?>
   7 | <html>
>  8 | <head><?php echo $head; ?> <title><?php echo $title; ?></title></head>
   9 | <body>
  10 | <a href=""http://<?php echo $href; ?>"">text</a>
  11 | <script>
  12 |    <?php echo $script; ?>
  13 | </script>
  14 | <frameset>
  15 |
  16 | </frameset>
  17 | </body>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,The web application dynamically generates web content without validating the source of the potentially untrusted data in wackopicko/website/test.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,https://db.fluidattacks.com/wek/008,SAST,12,"
   2 | $head = $_GET['head'];
   3 | $title = $_GET['title'];
   4 | $href = $_GET['href'];
   5 | $script = $_GET['script'];
   6 | ?>
   7 | <html>
   8 | <head><?php echo $head; ?> <title><?php echo $title; ?></title></head>
   9 | <body>
  10 | <a href=""http://<?php echo $href; ?>"">text</a>
  11 | <script>
> 12 |    <?php echo $script; ?>
  13 | </script>
  14 | <frameset>
  15 |
  16 | </frameset>
  17 | </body>
  18 | </html>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,The web application dynamically generates web content without validating the source of the potentially untrusted data in wackopicko/website/test.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,https://db.fluidattacks.com/wek/008,SAST,10,"
   2 | $head = $_GET['head'];
   3 | $title = $_GET['title'];
   4 | $href = $_GET['href'];
   5 | $script = $_GET['script'];
   6 | ?>
   7 | <html>
   8 | <head><?php echo $head; ?> <title><?php echo $title; ?></title></head>
   9 | <body>
> 10 | <a href=""http://<?php echo $href; ?>"">text</a>
  11 | <script>
  12 |    <?php echo $script; ?>
  13 | </script>
  14 | <frameset>
  15 |
  16 | </frameset>
  17 | </body>
  18 | </html>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
Summary: 28 vulnerabilities were found in your targets.
